          Centre     Radius         Count     Count Error     Magnitude     Magnitude Error
     (657, 2530)          3         61408             247         13.33                0.02
    (3443, 2562)          3         61943             248         13.32                0.02
    (3600, 2535)          3         61689             248         13.32                0.02
    (4548, 1054)          3         61988             248         13.32                0.02
      (30, 1692)          5       1036273            1017         10.26                0.02
     (1495, 634)         16       2219740            1489          9.43                0.02
     (1938, 675)         14       1839211            1356          9.64                0.02
     (2300, 446)         16       2389080            1545          9.35                0.02
     (578, 1772)         16       2392490            1546          9.35                0.02
      (4273, 55)         16       1846498            1358          9.63                0.02
     (3923, 188)         14       1287143            1134         10.03                0.02
     (2263, 704)         14       1548444            1244          9.83                0.02
       (662, 65)         31       5998917            2449          8.35                0.02
    (1115, 2522)         14       1566317            1251          9.81                0.02
     (1654, 966)         14       1267580            1125         10.04                0.02
    (4400, 1312)         15       2168704            1472          9.46                0.02
    (4330, 1365)         14       1534698            1238          9.83                0.02
     (3373, 894)         14       1295880            1138         10.02                0.02
    (3034, 2519)         16       3016912            1736           9.1                0.02
    (2529, 2534)         13       1735335            1317           9.7                0.02
